テーブル名,コード,意味,説明
競馬場コード,1,札幌,"札幌競馬場, Sapporo"
競馬場コード,2,函館,"函館競馬場, Hakodate"
競馬場コード,3,福島,"福島競馬場, Fukushima"
競馬場コード,4,新潟,"新潟競馬場, Niigata"
競馬場コード,5,東京,"東京競馬場, Tokyo"
競馬場コード,6,中山,"中山競馬場, Nakayama"
競馬場コード,7,中京,"中京競馬場, Chukyo"
競馬場コード,8,京都,"京都競馬場, Kyoto"
競馬場コード,9,阪神,"阪神競馬場, Hanshin"
競馬場コード,10,小倉,"小倉競馬場, Kokura"
競馬場コード,30,門別,"門別競馬場, Monbetsu"
競馬場コード,31,北見,"北見競馬場, Kitami"
競馬場コード,32,岩見沢,"岩見沢競馬場, Iwamizawa"
競馬場コード,33,帯広,"帯広競馬場, Obihiro"
競馬場コード,34,旭川,"旭川競馬場, Asahikawa"
競馬場コード,35,盛岡,"盛岡競馬場, Morioka"
競馬場コード,36,水沢,"水沢競馬場, Mizusawa"
競馬場コード,37,上山,"上山競馬場, Kaminoyama"
競馬場コード,38,三条,"三条競馬場, Sanjyo"
競馬場コード,39,足利,"足利競馬場, Ashikaga"
競馬場コード,40,宇都宮,"宇都宮競馬場, Utsunomiya"
競馬場コード,41,高崎,"高崎競馬場, Takasaki"
競馬場コード,42,浦和,"浦和競馬場, Urawa"
競馬場コード,43,船橋,"船橋競馬場, Funabashi"
競馬場コード,44,大井,"大井競馬場, Ohi"
競馬場コード,45,川崎,"川崎競馬場, Kawasaki"
競馬場コード,46,金沢,"金沢競馬場, Kanazawa"
競馬場コード,47,笠松,"笠松競馬場, Kasamatsu"
競馬場コード,48,名古屋,"名古屋競馬場, Nagoya"
競馬場コード,49,紀三井寺,"紀三井寺競馬場, Kimiidera"
競馬場コード,50,園田,"園田競馬場, Sonoda"
競馬場コード,51,姫路,"姫路競馬場, Himeji"
競馬場コード,52,益田,"益田競馬場, Masuda"
競馬場コード,53,福山,"福山競馬場, Fukuyama"
競馬場コード,54,高知,"高知競馬場, Kochi"
競馬場コード,55,佐賀,"佐賀競馬場, Saga"
競馬場コード,56,荒尾,"荒尾競馬場, Arao"
競馬場コード,57,中津,"中津競馬場, Nakatsu"
競馬場コード,58,札幌(地方競馬),"札幌競馬場(地方競馬), Sapporo(NAR)"
競馬場コード,59,函館(地方競馬),"函館競馬場(地方競馬), Hakodate(NAR)"
競馬場コード,60,新潟(地方競馬),"新潟競馬場(地方競馬), Niigata(NAR)"
競馬場コード,61,中京(地方競馬),"中京競馬場(地方競馬), Chukyo(NAR)"
競馬場コード,A0,その他の外国,
競馬場コード,A2,日本,Japan (JPN)
競馬場コード,A4,アメリカ,United States of America (USA)
競馬場コード,A6,イギリス,Great Britain (GB)
競馬場コード,A8,フランス,France (FR)
競馬場コード,B0,インド,India (IND)
競馬場コード,B2,アイルランド,Ireland (IRE)
競馬場コード,B4,ニュージーランド,New Zealand (NZ)
競馬場コード,B6,オーストラリア,Australia (AUS)
競馬場コード,B8,カナダ,Canada (CAN)
競馬場コード,C0,イタリア,Italy (ITY)
競馬場コード,C2,ドイツ,Germany (GER)
競馬場コード,C5,オマーン,Oman (OMN)
競馬場コード,C6,イラク,Iraq (IRQ)
競馬場コード,C7,アラブ首長国連邦,United Arab Emirates (UAE)
競馬場コード,C8,シリア,Syrian (SYR)
競馬場コード,D0,スウェーデン,Sweden (SWE)
競馬場コード,D2,ハンガリー,Hungary (HUN)
競馬場コード,D4,ポルトガル,Portugal (POR)
競馬場コード,D6,ロシア,Russia (RUS)
競馬場コード,D8,ウルグアイ,Uruguay (URU)
競馬場コード,E0,ペルー,Peru (PER)
競馬場コード,E2,アルゼンチン,Argentina (ARG)
競馬場コード,E4,ブラジル,Brazil (BRZ)
競馬場コード,E6,ベルギー,Belgium (BEL)
競馬場コード,E8,トルコ,Turkey (TUR)
競馬場コード,F0,韓国,Korea (KOR)
競馬場コード,F1,中国,China (CHN)
